company,country,director,genre,name,rating,star,writer,released,budget,gross,runtime,score,votes,year
Paramount Pictures,USA,John Byrum,Comedy,The Whoopee Boys,R,Michael O'Keefe,Steve Zacharias,22/08/1986,0,444746,88,6.2,639,1986
Blake Edwards,USA,Blake Edwards,Comedy,That's Life!,PG-13,Jack Lemmon,Milton Wexler,10/10/1986,0,4079895,102,6.1,1032,1986
Hemdale,USA,Hal Needham,Comedy,Body Slam,PG,Dirk Benedict,Shel Lytton,21/05/1987,0,14926,89,5.3,795,1986
"Rank Organisation, The",UK,David Drury,Thriller,Defense of the Realm,PG,Gabriel Byrne,Martin Stellman,21/11/1986,0,750000,96,6.6,1625,1986
Cinequanon,Argentina,Eliseo Subiela,Drama,Man Facing Southeast,R,Lorenzo Quinteros,Eliseo Subiela,13/03/1987,0,725000,105,7.8,2991,1986
Corporation Image M & M,Canada,Denys Arcand,Comedy,The Decline of the American Empire,R,Dominique Michel,Denys Arcand,14/11/1986,0,1902706,101,7.3,6622,1986
Rastar Films,USA,Jack Fisk,Drama,Violets Are Blue...,PG-13,Sissy Spacek,Naomi Foner,25/04/1986,0,4743287,88,5.7,553,1986
Portreeve,UK,Simon Langton,Thriller,The Whistle Blower,PG,Michael Caine,Julian Bond,10/07/1987,0,1500000,100,6.2,1672,1986
American Playhouse,USA,Jerrold Freedman,Drama,Native Son,PG,Victor Love,Richard Wesley,12/12/1986,2000000,1301121,111,5.9,448,1986
Carson Productions,USA,Eugene Corr,Drama,Desert Bloom,PG,Jon Voight,Linda Remy,18/04/1986,0,416393,105,6.6,821,1986
Alternate Current,USA,Lizzie Borden,Drama,Working Girls,NOT RATED,Louise Smith,Lizzie Borden,20/03/1987,0,1777378,93,6.5,604,1986
Ciné Valse,France,Bertrand Blier,Comedy,Ménage,NOT RATED,Gérard Depardieu,Bertrand Blier,01/10/1986,0,925952,84,7,2022,1986
Caméras Continentales,Denmark,Henning Carlsen,Biography,Oviri,R,Donald Sutherland,Henning Carlsen,05/09/1986,0,583800,100,6.2,275,1986
Film Corporation of Kenya,UK,Raju Patel,Action,In the Shadow of Kilimanjaro,R,John Rhys-Davies,T. Michael Harry,09/05/1986,0,181410,100,5.1,310,1986
Cineplex-Odeon Films,Australia,Tim Burstall,Drama,Kangaroo,R,Colin Friels,Evan Jones,13/03/1987,0,432266,108,6.7,156,1986
Cannon Group,USA,Albert Pyun,Action,Dangerously Close,R,John Stockwell,Scott Fields,09/05/1986,0,2390525,95,6.6,935,1986
Hyperion Pictures,USA,Carroll Ballard,Family,Nutcracker,G,Hugh Bigney,Kent Stowell,26/11/1986,0,781727,100,7.2,578,1986
Produzioni Europee Associate (PEA),Italy,Federico Fellini,Comedy,Ginger and Fred,PG-13,Marcello Mastroianni,Federico Fellini,28/03/1986,0,837623,125,7.3,3859,1986
Metro-Goldwyn-Mayer (MGM),USA,Alan J. Pakula,Crime,Dream Lover,R,Kristy McNichol,Jon Boorstin,02/04/1986,0,502237,104,5.1,405,1986
MTM Enterprises,USA,Allan Burns,Drama,Just Between Friends,PG-13,Mary Tyler Moore,Allan Burns,21/03/1986,0,6408791,110,5.9,629,1986
Lynn-Davis Productions,USA,Gary Hudson,Action,Thunder Run,PG-13,Forrest Tucker,Charles Davis,30/05/1986,0,145975,90,5.1,218,1986
Longshot,USA,Paul Bartel,Comedy,The Longshot,PG-13,Tim Conway,Tim Conway,17/01/1986,0,1096843,89,5.4,457,1986
Silver Screen Partners II,USA,Michael Dinner,Comedy,Off Beat,PG,Judge Reinhold,Dezsö Magyar,11/04/1986,0,4842778,92,5,748,1986
Roundhouse,USA,Joe Roth,Drama,Streets of Gold,R,Klaus Maria Brandauer,Dezsö Magyar,14/11/1986,0,2520664,95,6,505,1986
Convy-Fimberg Productions,USA,Bert Convy,Action,Weekend Warriors,R,Chris Lemmon,Bruce Belland,1986-10,0,351623,100,4.4,237,1986
J&M; Entertainment,UK,Zoran Perisic,Action,Sky Bandits,PG,Scott McGinnis,Thom Keyes,31/10/1986,18000000,2295500,100,4.6,183,1986
Cinetel Films,USA,Fred Olen Ray,Action,Armed Response,R,David Carradine,T.L. Lankford,03/10/1986,1500000,1368912,86,4.9,489,1986
Cannon City Produktie Maatschappij B.V.,Netherlands,Franco Zeffirelli,Drama,Otello,PG,Plácido Domingo,Arrigo Boito,12/09/1986,0,189042,100,7.2,424,1986
Alliance Communications Corporation,USA,Rob Nilsson,Drama,On the Edge,PG-13,Bruce Dern,Roy Kissin,02/05/1986,0,440438,95,7.1,171,1986
Action Communications,USA,Frank Harris,Action,Low Blow,R,Leo Fong,Leo Fong,1986-04,0,63860,100,3.5,256,1986
Cote Blanche Productions,USA,Glen Pitre,Drama,Belizaire the Cajun,PG,Armand Assante,Glen Pitre,13/06/1986,0,1444618,103,6.4,391,1986
Les Films 13,France,Claude Lelouch,Drama,A Man and a Woman: 20 Years Later,PG,Anouk Aimée,Claude Lelouch,15/08/1986,0,227510,112,5.8,496,1986
New Line Cinema,USA,Clay Borris,Action,Quiet Cool,R,James Remar,Clay Borris,07/11/1986,0,1900000,100,5.7,542,1986
Not specified,USA,Gideon Amir,Action,Behind Enemy Lines,R,David Carradine,Malcolm Barbour,04/04/1986,0,2497233,90,4.9,368,1986
Not specified,USA,Francis Schaeffer,Action,Wired to Kill,R,Emily Longstreth,Francis Schaeffer,14/11/1986,0,193153,86,4.2,163,1986
Fringe Dwellers Productions,Australia,Bruce Beresford,Drama,The Fringe Dwellers,PG,Kristina Nehm,Bruce Beresford,1986-10,0,149440,98,6.7,305,1986
T. Films,France,André Téchiné,Crime,Scene of the Crime,NOT RATED,Nicolas Giraudi,André Téchiné,1987-05,0,164187,90,6.9,565,1986
Hanna-Barbera Productions,USA,Don Lusk,Animation,GoBots: Battle of the Rock Lords,G,Margot Kidder,Jeff Segal,21/03/1986,0,1338264,75,5.8,397,1986
Channel Four Films,UK,Charles Gormley,Comedy,The Gospel According to Vic,PG,Tom Conti,Charles Gormley,13/03/1987,0,267249,92,6.1,227,1986
Grace,USA,Dominic Orlando,Action,Knights of the City,R,Leon Isaac Kennedy,Leon Isaac Kennedy,14/02/1986,0,601451,87,4.8,103,1986
Embassy Pictures,USA,Robert M. Young,Comedy,Saving Grace,PG,Tom Conti,Celia Gittelson,13/11/1986,0,18209,112,7,467,1986
Hunter/MFG Production,USA,Gary Grillo,Action,Jackals,R,Jack Lucarelli,Dennis A. Pratt,19/09/1986,0,492367,97,5.3,139,1986
Cannon Films,USA,Filippo Ottoni,Comedy,Detective School Dropouts,PG,David Landsberg,Lorin Dreyfuss,08/08/1986,0,22123,92,5.8,220,1986
CBS Entertainment Production,USA,Christopher Cain,Adventure,Where the River Runs Black,PG,Charles Durning,Neal Jimenez,19/09/1986,0,676166,100,6.6,351,1986
DIC Entertainment,Canada,Bruno Bianchi,Family,Heathcliff: The Movie,G,Mel Blanc,George Gately,17/01/1986,0,2193642,73,5.3,187,1986
AAR Films,USA,Dennis Klein,Comedy,One More Saturday Night,R,Tom Davis,Tom Davis,22/08/1986,0,32279,95,5.7,211,1986
Act III Communications,USA,Rob Reiner,Adventure,The Princess Bride,PG,Cary Elwes,William Goldman,09/10/1987,16000000,30857814,98,8.1,320953,1987
Cinemarque Entertainment BV,UK,Clive Barker,Horror,Hellraiser,R,Andrew Robinson,Clive Barker,18/09/1987,1000000,14564027,94,7,83209,1987
Natant,UK,Stanley Kubrick,Drama,Full Metal Jacket,R,Matthew Modine,Gustav Hasford,10/07/1987,30000000,46357676,116,8.3,537826,1987
Great American Films Limited Partnership,USA,Emile Ardolino,Drama,Dirty Dancing,PG-13,Patrick Swayze,Eleanor Bergstein,21/08/1987,6000000,63952836,100,6.9,155978,1987
Warner Bros.,USA,Joel Schumacher,Comedy,The Lost Boys,R,Jason Patric,Jan Fischer,31/07/1987,0,32222567,97,7.3,100376,1987
Amercent Films,USA,John McTiernan,Action,Predator,R,Arnold Schwarzenegger,Jim Thomas,12/06/1987,15000000,59735548,107,7.8,313213,1987
Braveworld Productions,USA,Paul Michael Glaser,Action,The Running Man,R,Arnold Schwarzenegger,Stephen King,13/11/1987,27000000,38122105,101,6.6,120345,1987
Brooksfilms,USA,Mel Brooks,Adventure,Spaceballs,PG,Mel Brooks,Mel Brooks,24/06/1987,22700000,38119483,96,7.1,146748,1987
Orion Pictures,USA,Paul Verhoeven,Action,RoboCop,R,Peter Weller,Edward Neumeier,17/07/1987,13000000,53424681,102,7.5,196245,1987
Warner Bros.,USA,Richard Donner,Action,Lethal Weapon,R,Mel Gibson,Shane Black,06/03/1987,15000000,65207127,110,7.6,204328,1987
Paramount Pictures,USA,Brian De Palma,Crime,The Untouchables,R,Kevin Costner,Oscar Fraley,03/06/1987,25000000,76270454,119,7.9,234254,1987
De Laurentiis Entertainment Group (DEG),USA,Sam Raimi,Comedy,Evil Dead II,R,Bruce Campbell,Sam Raimi,13/03/1987,3600000,5923044,84,7.8,123325,1987
Golan-Globus Productions,USA,Gary Goddard,Action,Masters of the Universe,PG,Dolph Lundgren,David Odell,07/08/1987,22000000,17336370,106,5.4,30370,1987
Home Box Office (HBO),USA,Fred Dekker,Action,The Monster Squad,PG-13,Andre Gower,Shane Black,14/08/1987,12000000,3769990,82,7.2,21420,1987
Paramount Pictures,USA,Adrian Lyne,Drama,Fatal Attraction,R,Michael Douglas,James Dearden,18/09/1987,14000000,156645693,119,6.9,60383,1987
Eon Productions,UK,John Glen,Action,The Living Daylights,PG,Timothy Dalton,Richard Maibaum,31/07/1987,30000000,51185897,130,6.7,74272,1987
Twentieth Century Fox Film Corporation,USA,Oliver Stone,Crime,Wall Street,R,Charlie Sheen,Stanley Weiser,11/12/1987,15000000,43848100,126,7.4,126195,1987
Amblin Entertainment,USA,Steven Spielberg,Drama,Empire of the Sun,PG,Christian Bale,Tom Stoppard,25/12/1987,35000000,22238696,153,7.8,96566,1987
Apollo Pictures,USA,Steve Rash,Comedy,Can't Buy Me Love,PG-13,Patrick Dempsey,Michael Swerdlick,14/08/1987,0,31623833,94,6.7,26348,1987
Warner Bros.,USA,George Miller,Comedy,The Witches of Eastwick,R,Jack Nicholson,John Updike,12/06/1987,22000000,63766510,118,6.5,51642,1987
Paramount Pictures,USA,Carl Reiner,Comedy,Summer School,PG-13,Mark Harmon,Stuart Birnbaum,22/07/1987,0,35658098,97,6.5,14038,1987
New Line Cinema,USA,Chuck Russell,Action,A Nightmare on Elm Street 3: Dream Warriors,R,Heather Langenkamp,Wes Craven,27/02/1987,4500000,44793222,96,6.6,55414,1987
Touchstone Pictures,USA,Chris Columbus,Action,Adventures in Babysitting,PG-13,Elisabeth Shue,David Simkins,03/07/1987,0,34368475,102,6.9,30850,1987
RKO Pictures,USA,John Irvin,Action,Hamburger Hill,R,Anthony Barrile,James Carabatsos,28/08/1987,0,13839404,110,6.7,20159,1987
Universal Pictures,USA,Joseph Sargent,Adventure,Jaws: The Revenge,PG-13,Lorraine Gary,Peter Benchley,17/07/1987,23000000,20763013,89,2.9,33419,1987
Cannon Group,USA,Menahem Golan,Action,Over the Top,PG,Sylvester Stallone,Gary Conway,13/02/1987,25000000,16057580,93,5.7,40916,1987
Paramount Pictures,USA,John Hughes,Comedy,"Planes, Trains & Automobiles",R,Steve Martin,John Hughes,25/11/1987,30000000,49530280,93,7.6,98897,1987
Circle Films,USA,Joel Coen,Comedy,Raising Arizona,PG-13,Nicolas Cage,Ethan Coen,17/04/1987,6000000,22847564,94,7.4,107669,1987
Carolco International N.V.,UK,Alan Parker,Horror,Angel Heart,R,Mickey Rourke,William Hjortsberg,06/03/1987,17000000,17185632,113,7.3,67453,1987
Hughes Entertainment,USA,Howard Deutch,Drama,Some Kind of Wonderful,PG-13,Eric Stoltz,John Hughes,27/02/1987,0,18553948,95,7.1,21931,1987
Gladden Entertainment,USA,Michael Gottlieb,Comedy,Mannequin,PG,Andrew McCarthy,Edward Rugoff,13/02/1987,6000000,42721196,90,5.8,24626,1987
Hawn / Sylbert Movie Company,USA,Garry Marshall,Comedy,Overboard,PG,Goldie Hawn,Leslie Dixon,16/12/1987,0,26713187,106,6.8,40429,1987
Warner Bros.,USA,Joe Dante,Action,Innerspace,PG,Dennis Quaid,Chip Proser,01/07/1987,27000000,25893810,120,6.8,45172,1987
Metro-Goldwyn-Mayer (MGM),USA,Norman Jewison,Comedy,Moonstruck,PG,Cher,John Patrick Shanley,15/01/1988,15000000,80640528,102,7.1,38600,1987
Paramount Pictures,USA,Tony Scott,Action,Beverly Hills Cop II,R,Eddie Murphy,Danilo Bach,20/05/1987,28000000,153665000,100,6.5,90969,1987
Amblin Entertainment,USA,William Dear,Comedy,Harry and the Hendersons,PG,John Lithgow,William Dear,05/06/1987,0,29760613,110,5.9,26157,1987
Recorded Picture Company (RPC),UK,Bernardo Bertolucci,Biography,The Last Emperor,PG-13,John Lone,Mark Peploe,15/04/1988,23000000,43984230,163,7.8,76408,1987
Touchstone Pictures,USA,Barry Levinson,Biography,"Good Morning, Vietnam",R,Robin Williams,Mitch Markowitz,15/01/1988,13000000,123922370,121,7.3,106924,1987
Merchant Ivory Productions,UK,James Ivory,Drama,Maurice,R,James Wilby,E.M. Forster,18/09/1987,2600000,3130592,140,7.7,11837,1987
Interscope Communications,USA,Leonard Nimoy,Comedy,3 Men and a Baby,PG,Tom Selleck,Coline Serreau,25/11/1987,11000000,167780960,102,5.9,39544,1987
Alive Films,USA,John Carpenter,Horror,Prince of Darkness,R,Donald Pleasence,John Carpenter,23/10/1987,3000000,14182492,102,6.7,28064,1987
Columbia Pictures Corporation,USA,Luis Valdez,Biography,La Bamba,PG-13,Lou Diamond Phillips,Luis Valdez,24/07/1987,6500000,54215416,108,6.8,22839,1987
F/M,USA,Kathryn Bigelow,Action,Near Dark,R,Adrian Pasdar,Kathryn Bigelow,1988,5000000,3369307,94,7,27485,1987
Road Movies Filmproduktion,West Germany,Wim Wenders,Drama,Wings of Desire,PG-13,Bruno Ganz,Wim Wenders,06/05/1988,0,3210139,128,8.1,51522,1987
Twentieth Century Fox Film Corporation,USA,Marek Kanievska,Crime,Less Than Zero,R,Andrew McCarthy,Bret Easton Ellis,06/11/1987,0,12396383,98,6.4,15500,1987
Orion Pictures,USA,Roger Donaldson,Action,No Way Out,R,Kevin Costner,Kenneth Fearing,14/08/1987,15000000,35509515,114,7.1,28684,1987
Universal Pictures,USA,Matthew Robbins,Comedy,*batteries not included,PG,Hume Cronyn,Mick Garris,18/12/1987,0,32945797,106,6.6,25330,1987
United Artists,USA,Charles Shyer,Comedy,Baby Boom,PG,Diane Keaton,Nancy Meyers,30/10/1987,0,26712476,110,6.1,11414,1987
Cineplex-Odeon Films,UK,Bruce Robinson,Comedy,Withnail & I,R,Richard E. Grant,Bruce Robinson,19/06/1987,0,1544889,107,7.8,33285,1987
Fries Entertainment,USA,Jeffrey Bloom,Drama,Flowers in the Attic,PG-13,Louise Fletcher,Virginia C. Andrews,20/11/1987,0,15151736,93,5.7,7993,1987
Amercent Films,USA,James L. Brooks,Comedy,Broadcast News,R,William Hurt,James L. Brooks,25/12/1987,20000000,51249404,133,7.2,22802,1987
New Century Entertainment Corporation,Canada,Tibor Takács,Fantasy,Túnel al infierno,PG-13,Stephen Dorff,Michael Nankin,15/05/1987,2500000,13539458,85,6,11435,1987
Cannon Films,UK,Sidney J. Furie,Action,Superman IV: The Quest for Peace,PG,Christopher Reeve,Joe Shuster,24/07/1987,17000000,15681020,90,3.6,35866,1987
Laurel Entertainment Inc.,USA,Michael Gornick,Comedy,Creepshow 2,R,George Kennedy,Stephen King,01/05/1987,3500000,14000000,92,6,17500,1987
Atlantic Entertainment Group,USA,Christopher Leitch,Comedy,Teen Wolf Too,PG,Jason Bateman,Jeph Loeb,20/11/1987,3000000,7888703,95,3.2,8905,1987
Columbia Pictures Industries,USA,Fred Schepisi,Comedy,Roxanne,PG,Steve Martin,Edmond Rostand,19/06/1987,12000000,40050884,107,6.6,34794,1987
Rastar Pictures,USA,Herbert Ross,Comedy,The Secret of My Succe$s,PG-13,Michael J. Fox,Jim Cash,10/04/1987,12000000,66995879,111,6.5,24685,1987
Applied Action,USA,Tom Mankiewicz,Comedy,Dragnet,PG-13,Dan Aykroyd,Dan Aykroyd,26/06/1987,20000000,57387516,106,5.9,27387,1987
British Screen Productions,UK,Alan Clarke,Comedy,"Rita, Sue and Bob Too",R,Siobhan Finneran,Andrea Dunbar,29/05/1987,0,124167,93,6.4,2747,1987
TriStar Pictures,USA,Blake Edwards,Comedy,Blind Date,PG-13,Kim Basinger,Dale Launer,27/03/1987,18000000,39321715,95,5.9,17903,1987
New World Pictures,USA,Ethan Wiley,Comedy,House II: The Second Story,PG-13,Arye Gross,Fred Dekker,28/08/1987,0,7800000,88,5.4,8302,1987
Warner Bros.,USA,Jim Drake,Comedy,Police Academy 4: Citizens on Patrol,PG,Steve Guttenberg,Neal Israel,03/04/1987,0,28061343,88,4.8,33955,1987
Atlantic Entertainment Group,USA,Rod Amateau,Adventure,The Garbage Pail Kids Movie,PG,Anthony Newley,Linda Palmer,22/08/1987,1000000,1576615,100,2.7,6348,1987
Orion Pictures,USA,Danny DeVito,Comedy,Throw Momma from the Train,PG-13,Danny DeVito,Stu Silver,11/12/1987,14000000,57915972,88,6.2,28550,1987
Incorporated Television Company (ITC),UK,Joseph Ruben,Horror,The Stepfather,R,Terry O'Quinn,Carolyn Lefcourt,05/06/1987,0,2488740,89,6.8,9959,1987
Heron Communications,USA,Jack Sholder,Action,The Hidden,R,Kyle MacLachlan,Jim Kouf,30/10/1987,0,9747988,96,7,13878,1987
Universal Pictures,USA,Joe Dante,Comedy,Amazon Women on the Moon,R,Rosanna Arquette,Michael Barrie,18/09/1987,0,548696,85,6.2,8755,1987
Golan-Globus Productions,USA,Barbet Schroeder,Comedy,Barfly,R,Mickey Rourke,Charles Bukowski,16/10/1987,3000000,3221568,100,7.3,15647,1987
Universal Pictures,USA,Phil Joanou,Comedy,Three O'Clock High,PG-13,Casey Siemaszko,Richard Christian Matheson,09/10/1987,6000000,3685862,97,7.2,8970,1987
Panorama Film A/S,Denmark,Gabriel Axel,Comedy,Babette's Feast,G,Stéphane Audran,Karen Blixen,04/03/1988,0,4398938,102,7.8,14838,1987
Orion Pictures,USA,John Schlesinger,Crime,The Believers,R,Martin Sheen,Mark Frost,10/06/1987,0,18753438,114,6.1,4900,1987
Amercent Films,USA,James Toback,Comedy,The Pick-up Artist,PG-13,Molly Ringwald,James Toback,18/09/1987,15000000,13290368,81,5.2,5348,1987
Orion Pictures,USA,Woody Allen,Comedy,Radio Days,PG,Mia Farrow,Woody Allen,30/01/1987,16000000,14792779,88,7.6,26467,1987
Lightyear Entertainment,UK,Robert Altman,Comedy,Aria,R,John Hurt,Robert Altman,30/10/1987,0,1028679,90,5.8,2243,1987
Emshell Producers,USA,John R. Cherry III,Comedy,Ernest Goes to Camp,PG,Jim Varney,John R. Cherry III,22/05/1987,3000000,23509382,92,5.5,9526,1987
Nouvelles Éditions de Films (NEF),France,Louis Malle,Drama,Au Revoir les Enfants,PG,Gaspard Manesse,Louis Malle,12/02/1988,0,4542825,104,8,25969,1987
Columbia Pictures Corporation,USA,Ridley Scott,Crime,Someone to Watch Over Me,R,Tom Berenger,Howard Franklin,09/10/1987,17000000,10278549,106,6.1,7854,1987
"Guber-Peters Company, The",USA,James Foley,Comedy,Who's That Girl,PG,Madonna,Andrew Smith,07/08/1987,0,7305209,92,4.7,8125,1987
Universal Pictures,UK,Richard Attenborough,Biography,Cry Freedom,PG,Denzel Washington,John Briley,06/11/1987,29000000,5899797,157,7.5,10692,1987
Fourth Protocol,UK,John Mackenzie,Thriller,The Fourth Protocol,R,Michael Caine,George Axelrod,28/08/1987,6000000,12423831,119,6.5,7532,1987
Home Box Office (HBO),USA,Hector Babenco,Drama,Ironweed,R,Jack Nicholson,William Kennedy,12/02/1988,27000000,7393346,143,6.8,6874,1987
Amercent Films,USA,Bob Rafelson,Crime,Black Widow,R,Debra Winger,Ronald Bass,06/02/1987,0,25205460,102,6.3,7132,1987
Touchstone Pictures,USA,John Badham,Action,Stakeout,R,Richard Dreyfuss,Jim Kouf,05/08/1987,0,65673233,117,6.6,20039,1987
Imagine Films Entertainment,USA,Rod Daniel,Comedy,Like Father Like Son,PG-13,Dudley Moore,Lorne Cameron,02/10/1987,0,34377585,96,5.1,4817,1987
Pelemele Film,West Germany,Percy Adlon,Comedy,Bagdad Cafe,PG,Marianne Sägebrecht,Eleonore Adlon,22/04/1988,0,3587303,95,7.5,10255,1987
Cannon Group,USA,Andrey Konchalovskiy,Drama,Shy People,R,Jill Clayburgh,Andrey Konchalovskiy,11/03/1988,0,769119,100,6.9,940,1987
Twentieth Century Fox Film Corporation,USA,Joe Roth,Comedy,Revenge of the Nerds II: Nerds in Paradise,PG-13,Robert Carradine,Tim Metcalfe,10/07/1987,0,30063289,88,4.9,11444,1987
Simcom Limited,Canada,Bruce Pittman,Horror,Prom Night II,R,Lisa Schrage,Ron Oliver,13/11/1987,0,2683519,97,5.6,3440,1987
Cannon Group,USA,J. Lee Thompson,Action,Death Wish 4: The Crackdown,R,Charles Bronson,Brian Garfield,06/11/1987,5000000,6880310,99,5.3,6770,1987
Amercent Films,USA,Jonathan Kaplan,Comedy,Project X,PG,Matthew Broderick,Lawrence Lasker,17/04/1987,18000000,18532286,108,6.1,8879,1987
Finnegan/Pinchuk Productions,USA,William Phelps,Action,North Shore,PG,Matt Adler,William Phelps,14/08/1987,0,3832228,96,6.5,1903,1987
7 Films Cinéma,France,Élie Chouraqui,Action,Man on Fire,R,Scott Glenn,A.J. Quinnell,04/09/1987,0,519596,87,5.9,1340,1987
Cannon Films,USA,Ruggero Deodato,Fantasy,The Barbarians,R,David Paul,Alberto Piferi,20/03/1987,4000000,800000,87,4.9,2538,1987
Columbia Pictures Corporation,USA,Elaine May,Action,Ishtar,PG-13,Warren Beatty,Elaine May,15/05/1987,55000000,14375181,107,4.2,9094,1987
Conquering Unicorn,USA,Robert Townsend,Comedy,Hollywood Shuffle,R,Robert Townsend,Robert Townsend,20/03/1987,100000,5228617,78,7,3009,1987
Marimark Productions,USA,Lawrence Bassoff,Comedy,Hunk,PG,John Allen Nelson,Lawrence Bassoff,06/03/1987,0,1749956,102,4.6,1042,1987
Filmhaus,USA,David Mamet,Crime,House of Games,R,Lindsay Crouse,David Mamet,14/10/1987,0,2585639,102,7.3,17508,1987
Not specified,USA,Peter Werner,Crime,No Man's Land,R,Charlie Sheen,Dick Wolf,23/10/1987,0,2877571,100,6.1,3297,1987
Trans World Entertainment (TWE),USA,David Keith,Sci-Fi,The Curse,R,Wil Wheaton,David Chaskin,11/09/1987,0,1930001,92,4.9,1762,1987
TriStar Pictures,USA,Peter Yates,Crime,Suspect,R,Cher,Eric Roth,23/10/1987,0,18782400,121,6.6,7506,1987
TriStar Pictures,USA,Christopher Cain,Action,The Principal,R,Jim Belushi,Frank Deese,18/09/1987,0,19734940,109,6.2,7311,1987
Columbia Pictures Corporation,UK,John Boorman,Comedy,Hope and Glory,PG-13,Sarah Miles,John Boorman,19/02/1988,0,10021120,113,7.4,10291,1987
Touchstone Pictures,USA,Arthur Hiller,Comedy,Outrageous Fortune,R,Shelley Long,Leslie Dixon,30/01/1987,0,52864741,99,6.1,6123,1987
Carolco Entertainment,USA,Walter Hill,Action,Extreme Prejudice,R,Nick Nolte,John Milius,24/04/1987,22000000,11307844,96,6.6,4924,1987
Cannon Group,USA,Sam Firstenberg,Action,American Ninja 2: The Confrontation,R,Michael Dudikoff,Gary Conway,01/05/1987,350000,4000000,90,4.8,6565,1987
Cinecom Entertainment Group,USA,John Sayles,Drama,Matewan,PG-13,Chris Cooper,John Sayles,30/06/1988,4000000,1680358,135,7.9,6198,1987
Vista Organization,USA,Bill Norton,Drama,Three for the Road,PG,Charlie Sheen,Richard Martini,05/05/1988,0,1539000,88,5.3,813,1987
Columbia Pictures,USA,Paul Weiland,Action,Leonard Part 6,PG,Bill Cosby,Jonathan Reynolds,18/12/1987,24000000,4916871,85,2.2,7387,1987
Golan-Globus Productions,USA,Jerry Schatzberg,Crime,Street Smart,R,Christopher Reeve,David Freeman,20/03/1987,5000000,1119112,97,6.4,2096,1987
Zenith Entertainment,UK,Stephen Frears,Biography,Prick Up Your Ears,R,Gary Oldman,Alan Bennett,08/05/1987,0,1654743,105,7.4,4799,1987
Gladden Entertainment,USA,Michael Cimino,Action,The Sicilian,R,Christopher Lambert,Mario Puzo,23/10/1987,9000000,5406879,115,5.3,3889,1987
